Quantum,AvgTAT,AvgWait,CPUUtilization,
10,23555.99,23060.84,10.33,
20,20352.03,19828.93,19.81,
30,19146.66,18597.93,28.71,
40,18684.14,18096.83,41.67,
50,18568.01,17970.28,45.31,
75,17829.75,17157.9,70.32,
100,18126.39,17412.64,84.63,
125,18234.9,17528.79,82.45,
150,18254.04,17554.7,79.78,
175,18070.96,17378.91,77.2,
200,18327.39,17585.19,94.03,
,,,,
MIN,17829.75,17157.9,94.03,MAX
