
# Run: Patrons=10, Scheduler=RR, Quantum=30, Switch=5, Seed=42
PatronID,ResponseTime,TotalWaitingTime,TurnaroundTime
1,26,1643,2089
0,26,1560,2369
2,25,1835,2519
6,214,2240,2934
4,108,2453,3101
7,230,2441,3048
8,457,2518,3177
9,788,2499,3208
3,1416,3168,3597
5,417,3104,3603
